,豆瓣评分,豆瓣投票人数,IMDB评分,IMDB投票人数,类别,产地,年代
665,7.3,86090,6.4,15655,悬疑-惊悚,美国,2019
666,7.5,94075,7.8,34076,动画-奇幻-冒险,美国,2019
667,7.8,117,7.0,1545,剧情-喜剧-冒险,美国,2019
668,5.4,332,5.6,2267,动作-惊悚,美国,2019
669,5.6,585,5.7,2146,剧情-惊悚,美国,2019
670,4.6,135,4.7,3702,科幻,美国,2019
671,5.9,72,5.1,290,惊悚-恐怖,美国,2019
672,5.5,227,6.1,3895,奇幻-冒险,英国-美国,2019
673,6.2,323,5.1,5073,剧情-惊悚,美国,2019
674,6.8,529,6.5,2373,动作,美国-德国,2019
675,8.9,35705,8.3,71667,剧情-喜剧-传记,美国,2019
676,5.5,114,5.3,2125,动作-剧情-惊悚,墨西哥-美国,2019
677,7.9,1349,7.6,608,科幻-悬疑-惊悚,西班牙,2018
678,5.4,98,8.8,25345,剧情-动作-战争,印度,2019
679,5.1,29759,6.0,68,喜剧-爱情,中国大陆,2019
680,5.8,163553,6.4,446,剧情-喜剧,中国大陆-香港,2019
681,8.0,1126954,7.3,7346,科幻-灾难,中国大陆,2019
682,4.0,21670,5.3,244,喜剧-动作-奇幻,中国大陆,2019
683,6.5,116,6.4,980,犯罪,意大利,2019
684,6.1,103,6.2,1123,喜剧-爱情,美国,2019
685,6.1,1242,6.1,14826,喜剧-爱情-奇幻,美国,2019
686,6.3,3119,7.0,76847,悬疑-惊悚-犯罪,美国,2019
687,8.7,3057,6.5,14877,剧情-喜剧,美国,2017
