,IMDB,url,产地,年代,片名,类别,译名,豆瓣
1503,,https://www.dy2018.com/i/98403.html,,2017,G.E.M.：G-Force/G-Force,纪录/音乐,一路逆风/邓紫棋成长记/逆风飞翔,"4.5,10,1994"
1504,,https://www.dy2018.com/i/98145.html,,2017,The Door,悬疑/惊悚,惊门,
1505,,https://www.dy2018.com/i/99606.html,中国大陆,2017,一纸婚约,剧情/爱情,APaperMarriage,
1506,"5.2,10,9",https://www.dy2018.com/i/98910.html,中国大陆/香港,2017,巨额来电,剧情/犯罪,猜猜我是谁/反诈风暴,"5.9,10,4890"
1507,,https://www.dy2018.com/i/98638.html,中国大陆,2017,攻守道,动作,,
1508,"5.7,10,736",https://www.dy2018.com/i/97919.html,,2017,西游伏妖篇,喜剧/动作/奇幻/古装,西游2：伏妖篇/西游降魔篇2/西游·降魔篇2/西游·降魔2,"5.8,10,178937"
1509,"5.7,10,6",https://www.dy2018.com/i/98372.html,中国大陆,2017,父子雄兵/父子魂斗罗,剧情/喜剧,Father and Son,"4.9,10,11959"
1510,,https://www.dy2018.com/i/98395.html,中国大陆,2017,麻辣学院,剧情/喜剧,青春日记/宝岛青春日记/超级代课老师,
1511,,https://www.dy2018.com/i/98362.html,,2017,西谎极落之太爆太子太空舱,,西谎极落/西谎极落：来自太空舱的你/西谎极落：太爆太子太空舱(港)/西谎极落：太爆．太子．太空舱(台)/The Sinking City From the Space Capsule,
1512,,https://www.dy2018.com/i/98296.html,中国大陆,2017,京城81号2 京城81号Ⅱ,剧情/悬疑/惊悚,The House That Never Dies Ⅱ,"4.0,10,10527"
1513,"6.4,10,170",https://www.dy2018.com/i/98180.html,,2017,恶女 악녀,,Ak-Nyeo/The Villainess,"6.1,10,1470"
1514,,https://www.dy2018.com/i/98830.html,韩国,2017,반드시 잡는다,犯罪,一定要抓住,"6.3,10,346"
1515,"6.3,10,50",https://www.dy2018.com/i/98836.html,韩国,2017,Silent Witness/Heart Blackened,剧情/犯罪/惊悚,沉默/沉默的目击者(台),"5.7,10,775"
1516,"7.1,10,83",https://www.dy2018.com/i/98569.html,韩国,2017,代立军 대립군,剧情/历史/战争/古装,The Proxy Soldiers/Warriors of the Dawn,"6.3,10,484"
1517,"7.8,10,39",https://www.dy2018.com/i/98411.html,韩国,2017,브이아이피,动作/犯罪,V.I.P.,"6.5,10,428"
1518,"6.5,10,399",https://www.dy2018.com/i/98213.html,,2017,共助 공조,,机密同盟(台)/秘密任务(港)/Confidential Assignment,"6.7,10,6020"
1519,"7.1,10,650",https://www.dy2018.com/i/98149.html,,2017,조작된 도시,动作,被操纵的城市/虚拟都市(港)/伪造的城市,"7.3,10,4990"
1520,"4.7,10,853",https://www.dy2018.com/i/99701.html,美国,2017,去地狱的派对巴士,恐怖,Party Bus to Hell/Bus Party to Hell/通向地狱的大巴/派对巴士去地狱,
1521,"5.7,10,29823",https://www.dy2018.com/i/98293.html,美国,2017,Baywatch,喜剧/动作,海滩游侠/海滩救护队(台)/沙滩拯救队(港)/护滩使者/生死海滩,"6.0,10,652"
1522,"5.3,10,1179",https://www.dy2018.com/i/99607.html,美国,2017,靶场,惊悚,Downrange,"6.0,10,108"
1523,"6.2,10,1390",https://www.dy2018.com/i/98665.html,美国,2017,Radius,科幻/惊悚,死亡半径,"6.0,10,496"
1524,"6.0,10,382",https://www.dy2018.com/i/99643.html,美国,2017,The Yellow Birds,剧情/战争,黄鸟,
1525,"5.3,10,983",https://www.dy2018.com/i/98118.html,美国,2017,Once Upon a Time in Venice,喜剧/动作,重装上阵,"6.1,10,43"
1526,"6.2,10,12924",https://www.dy2018.com/i/99079.html,美国,2017,Pitch Perfect 3,喜剧/音乐,完美音调3/歌喉赞3(台)/完美巨声帮3(港),"6.1,10,750"
1527,"3.8,10,1976",https://www.dy2018.com/i/98253.html,美国,2017,新小屁孩日记 Diary of a Wimpy Kid: The Long Haul,喜剧/儿童,小屁孩日记：长途旅行,"6.1,10,38"
1528,"6.4,10,3252",https://www.dy2018.com/i/98022.html,美国,2017,Before I Fall,剧情/悬疑,忽然七日/还有机会说再见(台)/在我坠落前,"6.2,10,195"
1529,"5.6,10,1270",https://www.dy2018.com/i/98953.html,美国,2017,The Man from Earth: Holocene,科幻,这个男人来自地球：全新纪/这个男人来自地球2,"6.2,10,871"
1530,"6.2,10,595",https://www.dy2018.com/i/99302.html,美国,2017,Terrifier,惊悚/恐怖,断魂小丑,
1531,"6.2,10,2326",https://www.dy2018.com/i/98900.html,美国,2017,Dave Made a Maze,喜剧/恐怖/冒险,戴夫造了个迷宫,"6.2,10,169"
1532,"5.7,10,564",https://www.dy2018.com/i/98041.html,,2017,"My Father, Die",动作,爹，请你死吧,"6.3,10,64"
1533,"6.4,10,2681",https://www.dy2018.com/i/98117.html,美国,2017,Song to Song,剧情/音乐,歌声不绝/歌至歌/为你唱的歌(台)/失重/歌连歌/歌声不断/无法无天/非法,"6.3,10,374"
1534,"5.2,10,246",https://www.dy2018.com/i/99029.html,美国,2017,The Stray,剧情/冒险,流浪狗,"6.3,10,1059"
